Name,Category
Acroyoga,general
Acting,general
Aerial silk,general
Airbrushing,general
Amateur radio,general
Animation,general
Anime,general
Aquascaping,general
Art,general
Astrology,general
Baking,general
Baton twirling,general
Beatboxing,general
Beer tasting,general
Binge-watching,general
Blogging,general
Board/tabletop games,general
Book discussion clubs,general
Book restoration,general
Bowling,general
Breadmaking,general
Bullet journaling,general
Calligraphy,general
Candle making,general
Candy making,general
Car fixing & building,general
Card games,general
Cardistry,general
Ceramics,general
Chatting,general
Cheesemaking,general
Chess,general
Cleaning,general
Clothesmaking,general
Coffee roasting,general
Collecting,general
Coloring,general
Communication,general
Community activism,general
Computer programming,general
Confectionery,general
Conlanging,general
Construction,general
Cooking,general
Cosplaying,general
Couch surfing,general
Couponing,general
Craft,general
Creative writing,general
Crocheting,general
Cross-stitch,general
Crossword puzzles,general
Cryptography,general
Dance,general
Decorating,general
Digital arts,general
Dining,general
Diorama,general
Distro Hopping,general
Diving,general
Djembe,general
DJing,general
Do it yourself,general
Drama,general
Drawing,general
Drink mixing,general
Electronic games,general
Electronics,general
Embroidery,general
Engraving,general
Entertaining,general
Experimenting,general
Fantasy sports,general
Fashion,general
Fashion design,general
Feng shui decorating,general
Filmmaking,general
Fingerpainting,general
Fishfarming,general
Fishkeeping,general
Flower arranging,general
Fly tying,general
Foreign language learning,general
Furniture building,general
Genealogy,general
Gingerbread house making,general
Giving advice,general
Glassblowing,general
Gardening,general
Gongfu tea,general
Gunsmithing,general
Herp keeping,general
Home improvement,general
Homebrewing,general
Houseplant care,general
Hula hooping,general
Humor,general
Hydroponics,general
Ice skating,general
Inventing,general
Jewelry making,general
Jigsaw puzzles,general
Journaling,general
Juggling,general
Karaoke,general
Kendama,general
Knife making,general
Knitting,general
Knot tying,general
Kombucha brewing,general
Lace making,general
Lapidary,general
Leather crafting,general
Lego building,general
Livestreaming,general
Listening to music,general
Listening to podcasts,general
Lock picking,general
Machining,general
Macrame,general
Magic,general
Makeup,general
Manga,general
Massaging,general
Mazes (indoor/outdoor),general
Mechanics,general
Meditation,general
Memory training,general
Metalworking,general
Miniature art,general
Minimalism,general
Model building,general
Modeling,general
Model engineering,general
Music,general
Nail art,general
Needlepoint,general
Origami,general
Painting,general
Palmistry,general
Pen Spinning,general
Performance,general
Pet,general
Pet adoption & fostering,general
Pet sitting,general
Philately,general
Photography,general
Pilates,general
Planning,general
Plastic art,general
Playing musical instruments,general
Poetry,general
Poi,general
Pole dancing,general
Postcrossing,general
Pottery,general
Power Nap,general
Practical jokes,general
Pressed flower craft,general
Proofreading and editing,general
Proverbs,general
Public speaking,general
Puppetry,general
Puzzles,general
Pyrography,general
Quilling,general
Quilting,general
Quizzes,general
Radio-controlled model playing,general
Rail transport modeling,general
Rapping,general
Reading,general
Recipe creation,general
Refinishing,general
Reiki,general
Reviewing Gadgets,general
Robot combat,general
Rubik's Cube,general
Scrapbooking,general
Scuba Diving,general
Sculpting,general
Sewing,general
Shoemaking,general
Singing,general
Sketching,general
Skipping rope,general
Slot car,general
Soapmaking,general
Social media,general
Spreadsheets,general
Stamp collecting,general
Stand-up comedy,general
Storytelling,general
Stripping,general
Sudoku,general
Talking,general
Tapestry,general
Tarot,general
Tatebanko,general
Tattooing,general
Taxidermy,general
Telling jokes,general
Thrifting,general
Upcycling,general
Wargaming,general
Watch making,general
Watching documentaries,general
Watching movies,general
Watching television,general
Wax sealing,general
Waxing,general
Weaving,general
Webtooning,general
Weight training,general
Welding,general
Whisky,general
Whittling,general
Wikipedia editing,general
Wine tasting,general
Winemaking,general
Witchcraft,general
Wood carving,general
Woodworking,general
Word searches,general
Worldbuilding,general
Writing,general
Writing music,general
Yo-yoing,general
Yoga,general
Zumba,general
Coding,tech
Programming,tech
Software,tech
AI,tech
Artificial Intelligence,tech
ML,tech
Machine Learning,tech
Web Development,tech
App Development,tech
Video Editing,tech
Audio Editing,tech
Cybersecurity,tech
Hacking,tech
Gaming,tech
Graphic Design,tech
UX Design,tech
3D printing,tech
Hardware,tech
soccer,sports
basketball,sports
tennis,sports
baseball,sports
golf,sports
running,sports
volleyball,sports
badminton,sports
swimming,sports
boxing,sports
table tennis,sports
skiing,sports
ice skating,sports
roller skating,sports
cricket,sports
rugby,sports
pool,sports
darts,sports
football,sports
bowling,sports
ice hockey,sports
surfing,sports
karate,sports
horse racing,sports
snowboarding,sports
skateboarding,sports
cycling,sports
archery,sports
fishing,sports
gymnastics,sports
figure skating,sports
rock climbing,sports
sumo wrestling,sports
taekwondo,sports
fencing,sports
water skiing,sports
jet skiing,sports
weight lifting,sports
scuba diving,sports
judo,sports
wind surfing,sports
kickboxing,sports
sky diving,sports
hang gliding,sports
bungee jumping,sports
kung fu,sports
Archaeology,academic
Astronomy,academic
Biology,academic
Botany,academic
Business,academic
Chemistry,academic
Electrochemistry,academic
English,academic
Entrepreneurship,academic
Geography,academic
History,academic
Mathematics,academic
Medical science,academic
Microbiology,academic
Mycology,academic
Philosophy,academic
Physics,academic
Psychology,academic
Railway studies,academic
Research,academic
Science and technology studies,academic
Social studies,academic
Sociology,academic
Sports science,academic
Life Science,academic
Teaching,academic
